Name	Depth[m]	T_down [C]	l_horiz [m]	LCOH [cEURO/kWh]	Q_dot [MW]	W_net [kW]	T_turb_out [C]	x_turb_out [-]	link
BAGNOLO_IN_PIANO_002	5733.0	119.93439824338012	1517.2389722181117	0.07995018380088122	0.6053746938364801	80.48096413140068	10.00000000000108	0.3070562194716406	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=460
RADICOFANI_001	2011.0	96.82427409427041	1660.9703152541053	0.08124035100350406	0.7102145613546029	56.997252564503576	10.00000000000108	0.3602327623594926	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4896
PIEVE_S.STEFANO_001	4936.0	114.66207183010911	1529.557157291145	0.08175849954586176	0.6102478593468986	74.94178641548555	10.00000000000108	0.3095279709236306	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4417
CARRUBO_001	3619.0	107.37988914346964	1562.1967139848732	0.08179554747337764	0.6406147455176985	67.55506274891086	10.00000000000108	0.32493056597701453	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1244
FUSIGNANO_001	5664.0	117.89542829348522	1515.4018152009464	0.08228824575656399	0.5937300346544595	77.90844904710656	10.00000000000108	0.3011498526184003	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=2722
S.GREGORIO_MAGNO_001_BIS	5901.0	118.96957751507239	1511.4266147588223	0.08236913675225724	0.5892635647995328	78.8883376480895	10.00000000000108	0.2988843840383607	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=5638
GALLARE_001	4956.0	114.12268021090101	1527.9739266948955	0.08263866628836597	0.6048948485606873	74.21993311951869	10.00000000000108	0.30681283388282043	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=2793
CELENZA_002	4911.0	113.40346784996997	1527.9935142654176	0.08331543023168621	0.6020188905688195	73.37420478321147	10.00000000000108	0.305354099652049	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1513
VILLAVERLA_001	4235.0	109.71004112516812	1542.916123382079	0.08342488794470543	0.6156378430978435	69.70779956237006	10.00000000000108	0.31226186127357225	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6920
RAVIZZA_001	4700.0	112.09540471251798	1532.008239189098	0.08360338103857282	0.604642299961251	72.04017620407278	10.00000000000108	0.30668473698850784	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=5081
RANDAZZO_003	4030.0	107.25330596345682	1545.5050747358725	0.08524563403167076	0.6099050805834471	66.95457576433488	10.00000000000108	0.30935410777359773	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4993
RAVIZZA_001_OR_C	4631.0	110.23265303751205	1530.7573901669628	0.08572718359513554	0.5943926785757521	69.8166441837768	10.00000000000108	0.30148595675258283	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=5084
VIZZINI_001	5507.0	114.18540120079335	1513.0327076499736	0.08652808086901773	0.5742399946994858	73.38474692854157	10.00000000000108	0.29126417677688465	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6938
MORELLO_001	4739.0	109.7799980905985	1526.6360105069668	0.08723103490849879	0.5843075661778805	69.10014864190539	10.00000000000108	0.296370618240146	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4058
RAVIZZA_001_OR_B	4571.0	108.7612076778004	1529.9709493440332	0.0874075183266961	0.5866325784942478	68.09090555635339	10.00000000000108	0.2975499035643546	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=5083
RAVIZZA_001_OR_A	4561.0	108.51596678451514	1529.8434977080278	0.08769140166427886	0.5853393753245723	67.8052644550323	10.00000000000108	0.2968939691813483	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=5082
