Name	Depth[m]	T_down [C]	l_horiz [m]	LCOH [cEURO/kWh]	W_dot [MW]	link
TROIA_004_DIR	1374.0	42.58848312420177	2350.7638485270027	0.04636213630959926	1.7029849806333832	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6667
SERGNANO_017_DIR	1379.0	42.58251715508188	2350.5213622146416	0.046364660460595834	1.702680211641288	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6079
MONTICHIARI_002	1377.0	42.54095090411051	2349.445525568664	0.046383205636519355	1.7010591563533843	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4045
LISCATE_001	1376.0	42.53993392354969	2349.4358838632497	0.0463836839954737	1.7010331876871494	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3323
QUARGNENTO_001	1354.0	42.508752708366785	2348.9607140809103	0.04639813565519875	1.700088291217202	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4886
SERGNANO_018_DIR	1374.0	42.48369632897382	2347.96937504513	0.04640879164612547	1.6988323425859755	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6080
SERGNANO_029_DIR	1374.0	42.48261480890594	2347.939835701589	0.046409273902383155	1.6987889009736663	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6091
MALOSSA_A_INIEZIONE	1371.0	42.43094517447392	2375.7900454511946	0.04640971974293562	1.7231796249024118	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3467
CASE_BORRA_002	1363.0	42.45924725563926	2347.4940080292445	0.04641997786068806	1.6980080774739084	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1285
SERGNANO_028_DIR	1371.0	42.42263138914322	2346.3845672379684	0.04643612024992843	1.6964500751567104	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6090
TORRENTE_TONA_001	1953.0	54.458451376039136	1112.3804420080792	0.04645187340871458	0.803648184262748	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6448
SERGNANO_030_DIR	1370.0	42.402522503048644	2293.697495993182	0.04650325792871645	1.648451329550314	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6092
S.GIOVANNI_001	4546.0	105.95498993738715	1312.7730288268242	0.04654014584489131	0.9218099313806905	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=5610
BAGNOLO_IN_PIANO_003	5046.0	106.04964837863349	1312.3042736112202	0.046542020141752655	0.921481573663641	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=461
SERGNANO_031_DIR	1365.0	42.30243546222544	2291.2259087395896	0.04654933018126393	1.6447015320802763	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6093
